Primäres Heizsystem nach überwiegend eingesetztem Energieträger und Art der Heizung;GEO;Kategorie;Group: Holz, Pellets - Kohle - Heizöl...;Value
2003/04;Österreich;Prozent;Holz, Pellets;17.3
2003/04;Österreich;Prozent;Kohle;1.8
2003/04;Österreich;Prozent;Heizöl;27
2003/04;Österreich;Prozent;Strom;7.5
2003/04;Österreich;Prozent;Erdgas;25.8
2003/04;Österreich;Prozent;Solar, Wärmepumpe;3.1
2003/04;Österreich;Prozent;Fernwärme;17.5
2005/06;Österreich;Prozent;Holz, Pellets;19.1
2005/06;Österreich;Prozent;Kohle;1.3
2005/06;Österreich;Prozent;Heizöl;26
2005/06;Österreich;Prozent;Strom;7
2005/06;Österreich;Prozent;Erdgas;25.6
2005/06;Österreich;Prozent;Solar, Wärmepumpe;1.1
2005/06;Österreich;Prozent;Fernwärme;20
2007/08;Österreich;Prozent;Holz, Pellets;21.2
2007/08;Österreich;Prozent;Kohle;1
2007/08;Österreich;Prozent;Heizöl;22.4
2007/08;Österreich;Prozent;Strom;6.3
2007/08;Österreich;Prozent;Erdgas;25.3
2007/08;Österreich;Prozent;Solar, Wärmepumpe;1.7
2007/08;Österreich;Prozent;Fernwärme;22.2
2009/10;Österreich;Prozent;Holz, Pellets;20
2009/10;Österreich;Prozent;Kohle;0.7
2009/10;Österreich;Prozent;Heizöl;20.3
2009/10;Österreich;Prozent;Strom;7.6
2009/10;Österreich;Prozent;Erdgas;25.1
2009/10;Österreich;Prozent;Solar, Wärmepumpe;3.2
2009/10;Österreich;Prozent;Fernwärme;23.3
2011/12;Österreich;Prozent;Holz, Pellets;20.4
2011/12;Österreich;Prozent;Kohle;0.4
2011/12;Österreich;Prozent;Heizöl;18.9
2011/12;Österreich;Prozent;Strom;7.1
2011/12;Österreich;Prozent;Erdgas;24.3
2011/12;Österreich;Prozent;Solar, Wärmepumpe;4.1
2011/12;Österreich;Prozent;Fernwärme;24.9
2013/14;Österreich;Prozent;Holz, Pellets;20.2
2013/14;Österreich;Prozent;Kohle;0.3
2013/14;Österreich;Prozent;Heizöl;16.5
2013/14;Österreich;Prozent;Strom;5.9
2013/14;Österreich;Prozent;Erdgas;24.1
2013/14;Österreich;Prozent;Solar, Wärmepumpe;5.1
2013/14;Österreich;Prozent;Fernwärme;27.9
2015/16;Österreich;Prozent;Holz, Pellets;18.6
2015/16;Österreich;Prozent;Kohle;0.2
2015/16;Österreich;Prozent;Heizöl;16.2
2015/16;Österreich;Prozent;Strom;5.8
2015/16;Österreich;Prozent;Erdgas;24.2
2015/16;Österreich;Prozent;Solar, Wärmepumpe;6.1
2015/16;Österreich;Prozent;Fernwärme;28.9
2017/18;Österreich;Prozent;Holz, Pellets;18.6
2017/18;Österreich;Prozent;Kohle;0.2
2017/18;Österreich;Prozent;Heizöl;16.1
2017/18;Österreich;Prozent;Strom;5.4
2017/18;Österreich;Prozent;Erdgas;23.5
2017/18;Österreich;Prozent;Solar, Wärmepumpe;7.6
2017/18;Österreich;Prozent;Fernwärme;28.6
2019/20;Österreich;Prozent;Holz, Pellets;16.8
2019/20;Österreich;Prozent;Kohle;0.2
2019/20;Österreich;Prozent;Heizöl;12.8
2019/20;Österreich;Prozent;Strom;6.3
2019/20;Österreich;Prozent;Erdgas;23
2019/20;Österreich;Prozent;Solar, Wärmepumpe;10.6
2019/20;Österreich;Prozent;Fernwärme;30.2
