start_date,Wind,Solar,Biomasse,Gas,Kohle,Öl,Geothermie,Pumpspeicher,Lauf..und.Schwellwasser,Speicher,Sonstige.Erneuerbare,Müll,Andere
2022-01-01,188732,2932,13212,9236.4,0,0,6.911999999999999,0,375559.2,22568,0,9600,2112
2022-01-02,31964,3600,13440,9063.2,0,0,6.911999999999999,0,360917.6,17518.8,0,9600,2112
2022-01-03,164612,2700,13056,90886,0,0,6.911999999999999,22014.4,316554,20571.6,0,9600,2112
2022-01-04,91260,2224,12924,146119.2,0,0,6.911999999999999,63674.4,306580.8,37345.6,0,9600,2112
2022-01-05,131072,1168,12152,95088,0,0,6.911999999999999,4308,308269.6,23322.8,0,9600,2112
2022-01-06,185656,3400,12160,136510,0,0,6.911999999999999,45556,300224.4,26957.6,0,9600,2112
2022-01-07,58148,4216,12204,146106.8,0,0,6.911999999999999,0,266406.8,19634,0,9600,2112
2022-01-08,39408,2768,12288,172055.2,0,0,6.911999999999999,0,244238.4,10408.8,0,9600,2112
2022-01-09,42424,2524,12288,133895.2,0,0,6.911999999999999,0,240501.2,17070.4,0,9600,2112
2022-01-10,110028,2644,11904,231032.4,0,0,6.911999999999999,76890.8,235098.4,46950.4,0,9600,2112
2022-01-11,218204,4064,11904,287220.4,0,0,6.911999999999999,0,221084.8,37504,0,9600,2112
2022-01-12,169228,4032,12288,251840,0,0,6.911999999999999,33574.4,213006.8,46452.4,0,9600,2112
2022-01-13,124608,3600,12496,245927.2,0,0,6.911999999999999,0,201628.8,28774.4,0,9600,2112
2022-01-14,210460,4652,12672,242609.6,0,0,6.911999999999999,46207.2,204494.8,42540.8,0,9600,2112
2022-01-15,82120,4176,12672,235337.6,0,0,6.911999999999999,63059.6,201129.2,36760,0,9600,2112
2022-01-16,81228,3896,12460,177048.8,0,0,6.911999999999999,5468.4,193536,28526,0,9600,2112
2022-01-17,258968,2908,12640,179497.6,0,0,6.911999999999999,9726,176224.4,33603.2,0,9600,2112
2022-01-18,170508,4192,12604,242192,0,0,6.911999999999999,71022.8,187354.4,51184.8,0,9600,2112
2022-01-19,34152,4724,12588,286130,0,0,6.911999999999999,53050,185201.2,29608.8,0,9600,2112
2022-01-20,196376,2992,12672,221508,0,0,6.911999999999999,0,168566.4,24410.8,0,9600,2112
2022-01-21,244064,4404,11904,227808,0,0,6.911999999999999,0,165456.4,25493.6,0,9600,2112
2022-01-22,178792,3276,12132,219294,0,0,6.911999999999999,37250,162312.4,43668,0,9600,2112
2022-01-23,77260,3696,12264,230268.8,0,0,6.911999999999999,15900.4,164369.2,30641.2,0,9600,2112
2022-01-24,4712,3964,11904,244928.4,0,0,6.911999999999999,140083.2,175900.4,65071.6,0,9600,2112
2022-01-25,48532,4388,11904,244855.6,0,0,6.911999999999999,146947.2,192948,67967.2,0,9600,2112
2022-01-26,96372,4968,11920,259657.2,0,0,6.911999999999999,117772.4,191723.6,52441.6,0,9600,2112
