start_date,Wind,Gas,Pumpspeicher,Lauf..und.Schwellwasser,Speicher,Andere
2022-05-24,44632,100819.6,76324.8,453122.4,75397.6,21818.912
2022-05-25,48776,83745.2,12862.800000000001,494008.4,67997.6,20466.912
2022-05-26,52148,35142.4,0,497612,42836.4,28650.912
2022-05-27,122264,34488.4,0,456020.8,38343.2,28238.912
2022-05-28,81736,68926,0,411672.4,41332,28222.912
2022-05-29,16360,15551.6,0,397213.6,49481.6,24458.912
2022-05-30,16372,83277.6,98864,361632.8,89483.2,25862.912
2022-05-31,60108,96493.2,74584.8,351997.2,85358.4,27742.912
2022-06-01,39216,22337.2,80592.8,360551.6,91380,26890.912
2022-06-02,25712,54144.8,0,380484.4,66030.4,25610.912
2022-06-03,77640,13638.4,35.99999999999987,396502.4,69322,26506.912
2022-06-04,49856,36235.6,0,426072.4,52577.6,29122.912
2022-06-05,56608,38.400000000000006,0,411132.8,49699.6,28922.912
2022-06-06,27568,38.400000000000006,0,464356.4,45418.8,29334.912
2022-06-07,57688,19177.2,59539.6,432906.8,73474,21026.912
2022-06-08,44732,16564,117929.2,473596.8,90280.8,25454.912
2022-06-09,130300,38.400000000000006,77610,456074.4,79903.6,19578.912
2022-06-10,221736,1200.8,49027.6,487513.2,62358.4,21242.912
2022-06-11,121264,2370,0,502366.4,53821.2,30158.912
2022-06-12,37220,38.400000000000006,0,458928.8,52549.6,31310.912
2022-06-13,67604,38.400000000000006,52284.4,408771.2,74690,25446.912
2022-06-14,36488,38,108759.2,402600,78600,27138.912
2022-06-15,13300,15346,122741.2,374969.6,95365.2,27570.912
2022-06-16,45008,38.400000000000006,78116.8,362773.6,92741.6,28422.912
2022-06-17,68920,38.400000000000006,117482.4,381614.4,89013.6,27942.912
2022-06-18,21500,23985.2,0,351908.4,62396.8,30726.912
2022-06-19,172972,38.400000000000006,0,322055.6,52467.2,31570.912
2022-06-20,66036,22400.8,158060,292359.2,100237.2,25970.912
2022-06-21,73940,38.400000000000006,84799.2,314889.6,91038.4,26834.912
2022-06-22,5480,31398.4,105721.6,297355.2,96563.6,25602.912
2022-06-23,11180,73863.2,72403.6,313152,75310,27486.912
2022-06-24,108500,4209.2,10316,339100,78100.8,24878.912
2022-06-25,75740,38.400000000000006,0,378983.6,50180.8,29318.912
2022-06-26,4076,0,0,336969.2,60374,32694.912
2022-06-27,91212,21324,44947.6,291767.2,69332,29210.912
2022-06-28,66628,34770.8,83061.6,307383.2,81054.8,27018.912
2022-06-29,47412,53052.4,0,372740,60010.8,27110.912
2022-06-30,44772,70515.6,59693.2,419138.8,68685.2,28386.912
2022-07-01,72760,6469.6,45968,401598.8,70372.8,26938.912
2022-07-02,120560,38.400000000000006,0,423267.2,48410,33126.912
2022-07-03,12636,38.400000000000006,0,379914.8,42888.8,32706.912
2022-07-04,26344,32542.4,70539.2,315436.8,69271.2,23382.912
2022-07-05,73924,19188.4,78386.8,364974.8,65144.8,22882.912
2022-07-06,54440,53004.8,54032.8,368357.2,63292.8,27714.912
2022-07-07,82908,80942.4,0,319876,50326,25450.912
2022-07-08,198456,51890.8,0,403408,52268.8,25954.912
2022-07-09,136280,0,0,425004,35934.4,29910.912
2022-07-10,143404,0,0,346436.8,37638,28662.912
2022-07-11,71752,0,112214.8,325953.6,76567.2,26778.912
2022-07-12,52864,0,124160,305968.8,82322.8,27402.912
2022-07-13,104152,0,9305.6,305790.4,64284,29610.912
2022-07-14,41240,25201.2,39865.2,284023.2,75874,28506.912
2022-07-15,102956,15008.8,32454.4,273058.4,61394.8,28954.912
2022-07-16,54788,0,0,281114.4,40250,34114.912
2022-07-17,21292,0,0,255752.4,47797.2,36854.912
2022-07-18,1868,0,128917.6,226073.2,83076,31470.912
2022-07-19,2852,34188.4,81204,235068,76738.4,31170.912
2022-07-20,24648,45031.6,55154.4,231018.4,78526.4,29038.912
2022-07-21,32752,52792.4,89743.6,230404.4,81981.2,27086.912
2022-07-22,47684,64615.2,47518.8,253542,73380.4,28682.912
2022-07-23,52952,11931.2,0,262470,70046.8,27698.912
2022-07-24,51928,19558,0,266278.4,49738.4,30126.912
2022-07-25,46560,35216.8,99960,214408.4,66688.4,28370.912
2022-07-26,79592,103676.4,74985.6,261187.6,68350.4,21810.912
2022-07-27,13396,87264.4,55064,265478,74256,25654.912
2022-07-28,27484,68372,23585.2,262031.6,84286,27242.912
2022-07-29,26760,66789.6,0,270803.2,80509.6,26690.912
2022-07-30,83712,6350,0,355455.6,58918,25102.912
2022-07-31,184404,38.400000000000006,0,332156.4,52522,30302.912
2022-08-01,17240,38.400000000000006,45903.6,292115.6,82024,24818.912
2022-08-02,25520,45858.4,21165.6,270776.4,68701.2,24274.912
2022-08-03,432,41480.8,35961.200000000004,266398.8,79030,26622.912
2022-08-04,8264,59194.4,63140,253658,74123.6,26442.912
2022-08-05,23176,6356.4,71172.4,241740,70894.4,25758.912
2022-08-06,191592,293.6,0,252488.8,40176.4,21934.912
2022-08-07,105220,38.400000000000006,0,243617.2,43290.4,26178.912
2022-08-08,24028,30939.2,24230.4,266522.8,73887.6,22002.912
2022-08-09,107504,54957.6,4675.600000000001,263995.2,65421.6,26210.912
2022-08-10,66468,51367.6,0,237574.8,72808.8,24462.912
2022-08-11,41092,19880.8,158580.4,217434.4,86998.4,25506.912
2022-08-12,20256,23893.2,151453.6,235256,89747.6,24246.912
2022-08-13,56820,38.400000000000006,34731.2,226300.8,83338,27718.912
2022-08-14,27588,28452,0,208914.4,70657.6,27558.912
2022-08-15,9452,38.400000000000006,20936,214854.8,89711.6,27398.912
2022-08-16,56220,58972,89842,213473.2,104768,25474.912
2022-08-17,6764,33968.8,91446,213029.6,95675.2,26922.912
2022-08-18,25184,42403.2,91626.8,201423.2,93922.4,25190.912
2022-08-19,24552,73049.2,22207.2,216182.8,74049.6,21870.912
2022-08-20,96284,610.4,0,254692,83652.8,22174.912
2022-08-21,208076,0,0,360620.8,57960.4,19770.912
2022-08-22,204660,0,68036,350144,77960.8,18406.912
2022-08-23,109956,31077.6,119282,285610.8,78620,20330.912
2022-08-24,95040,53523.2,33972.8,278793.6,69628,24806.912
2022-08-25,5140,36164.8,74813.6,227054.4,71131.6,24670.912
2022-08-26,2484,49518,94044.8,228760.8,87055.6,24866.912
2022-08-27,28568,1490.4,0,262390.4,52384,23626.912
2022-08-28,33004,0,0,302794.8,27034.8,21586.912
2022-08-29,33132,0,0,129087.59999999999,8204.8,7328.952
