start_date,Wind,Gas,Pumpspeicher,Lauf..und.Schwellwasser,Speicher,Andere
2022-01-01,188732,9236.4,0,375559.2,22568,27862.912
2022-01-02,31964,9063.2,0,360917.6,17518.8,28758.912
2022-01-03,164612,90886,22014.4,316554,20571.6,27474.912
2022-01-04,91260,146119.2,63674.4,306580.8,37345.6,26866.912
2022-01-05,131072,95088,4308,308269.6,23322.8,25038.912
2022-01-06,185656,136510,45556,300224.4,26957.6,27278.912
2022-01-07,58148,146106.8,0,266406.8,19634,28138.912
2022-01-08,39408,172055.2,0,244238.4,10408.8,26774.912
2022-01-09,42424,133895.2,0,240501.2,17070.4,26530.912
2022-01-10,110028,231032.4,76890.8,235098.4,46950.4,26266.912
2022-01-11,218204,287220.4,0,221084.8,37504,27686.912
2022-01-12,169228,251840,33574.4,213006.8,46452.4,28038.912
2022-01-13,124608,245927.2,0,201628.8,28774.4,27814.912
2022-01-14,210460,242609.6,46207.2,204494.8,42540.8,29042.912
2022-01-15,82120,235337.6,63059.6,201129.2,36760,28566.912
2022-01-16,81228,177048.8,5468.4,193536,28526,28074.912
2022-01-17,258968,179497.6,9726,176224.4,33603.2,27266.912
2022-01-18,170508,242192,71022.8,187354.4,51184.8,28514.912
2022-01-19,34152,286130,53050,185201.2,29608.8,29030.912
2022-01-20,196376,221508,0,168566.4,24410.8,27382.912
2022-01-21,244064,227808,0,165456.4,25493.6,28026.912
2022-01-22,178792,219294,37250,162312.4,43668,27126.912
2022-01-23,77260,230268.8,15900.4,164369.2,30641.2,27678.912
2022-01-24,4712,244928.4,140083.2,175900.4,65071.6,27586.912
2022-01-25,48532,244855.6,146947.2,192948,67967.2,28010.912
2022-01-26,96372,259657.2,117772.4,191723.6,52441.6,28606.912
2022-01-27,115964,251704.8,8959.599999999999,183825.6,25152.4,28662.912
2022-01-28,256996,248185.2,36022.8,170956.8,31159.2,27590.912
2022-01-29,128504,192470,0,171508.8,21020.4,27486.912
2022-01-30,267260,114388.8,0,187183.2,16794,28938.912
2022-01-31,106484,280026.8,77097.2,188448.8,45436.8,26390.912
2022-02-01,167540,328686.8,71992.4,201848.8,28735.2,27446.912
2022-02-02,256200,302212.4,0,211944,21036.8,27518.912
2022-02-03,136856,302128.8,0,219430.8,18435.6,28766.912
2022-02-04,47816,316976.4,34610.8,214676.4,24433.6,29170.912
2022-02-05,160484,182297.2,0,219237.2,13937.2,30670.912
2022-02-06,109168,183200.4,0,206925.2,12376.8,29734.912
2022-02-07,243720,257976.4,20941.2,230324.8,20517.6,27746.912
2022-02-08,223372,200918.8,0,239732,14710.8,29738.912
2022-02-09,91556,177126,88446.8,242759.6,32367.2,31126.912
2022-02-10,28944,254837.6,138639.6,237486.8,38291.2,31022.912
2022-02-11,138492,235012.8,83984.8,235017.6,25320,27090.912
2022-02-12,88520,206084.8,0,224829.6,12852,31822.912
2022-02-13,203712,85000,0,210257.2,10625.6,33094.912
2022-02-14,139776,165861.6,79060,202016,31706.8,31310.912
2022-02-15,17396,248951.2,114300.4,205774,45571.6,26862.912
2022-02-16,102640,227761.6,61126,206884.8,34607.2,30598.912
2022-02-17,223660,139380.4,0,247034.8,22964.8,30078.912
2022-02-18,132848,135735.2,6290.8,300110.4,31857.2,31618.912
2022-02-19,206784,84711.2,0,303542.4,17460.4,29230.912
2022-02-20,133596,67659.6,0,284830.8,15238.8,27526.912
2022-02-21,144712,120722.8,4061.5999999999995,270154,24082,25678.912
2022-02-22,195404,150374.4,31761.6,254272,22828,26730.912
2022-02-23,151676,188496.4,38387.2,255510.4,24416,28414.912
2022-02-24,135488,106122.8,17818.4,256052.4,17398.8,29406.912
2022-02-25,141404,72843.2,30172.4,245108.4,19333.6,28262.912
2022-02-26,154316,154352.4,13878.4,227298.8,20143.2,28078.912
2022-02-27,93468,119851.6,0,214409.6,11302,30694.912
2022-02-28,142428,255842,62611.6,196932.8,22408.4,27778.912
2022-03-01,47768,244158,98096.8,195472,33455.6,30814.912
2022-03-02,68096,252521.2,125553.6,195886.8,30837.2,30870.912
2022-03-03,60292,188469.2,149524.8,203529.2,44929.2,31262.912
2022-03-04,110632,276498.8,104068,198829.2,38739.2,28554.912
2022-03-05,42896,241814,34777.2,187123.6,31790.8,29162.912
2022-03-06,60876,182782,0,176078.4,25995.2,30830.912
2022-03-07,142224,235863.2,113991.2,180398.8,48898,29066.912
2022-03-08,82380,208636.4,61610.8,176262.8,36127.2,30350.912
2022-03-09,93632,237670,28630.8,176155.6,17226.4,31090.912
2022-03-10,94156,228062,48811.6,164675.2,14569.2,30970.912
2022-03-11,76600,219996.8,42623.6,158534,15502.4,31942.912
2022-03-12,158056,172481.6,0,158891.2,9600.4,33622.912
2022-03-13,184056,173416,0,157766,14097.6,30770.912
2022-03-14,138084,222325.6,36910,163841.2,15722.8,28126.912
2022-03-15,112072,263629.2,114369.6,170544.8,38027.6,26346.912
2022-03-16,125968,189078.4,105339.2,199300.4,34556.4,25586.912
2022-03-17,27400,267081.2,60571.2,214696.4,18712,29290.912
2022-03-18,13260,261985.6,34730,210627.6,19567.6,28910.912
2022-03-19,43556,229364,0,205812.8,14676.8,29718.912
2022-03-20,126500,107404,0,217594,12290,32394.912
2022-03-21,49164,180029.2,32097.600000000002,209876.4,30596.4,29950.912
2022-03-22,10708,193100.4,53842.8,214981.2,40005.6,30290.912
2022-03-23,9976,222915.2,66184.4,213958.8,36449.6,30626.912
2022-03-24,45596,232061.2,90693.2,218292,36280,30582.912
2022-03-25,15396,177102.4,69679.2,240011.6,27440.4,30866.912
2022-03-26,40012,100154,0,262698,21225.6,32958.912
2022-03-27,35044,106551.2,0,256398.8,20935.2,31494.624
2022-03-28,10960,188916.4,19418,258576,36656.8,30978.912
2022-03-29,50092,167802.8,90684.8,271384,42777.2,30014.912
2022-03-30,44316,216202.4,123793.2,268004.8,55208.8,26730.912
2022-03-31,45464,108647.2,66852.8,278695.6,38423.6,22062.912
2022-04-01,172396,105909.6,0,257690.8,26032.4,23086.912
2022-04-02,197204,78987.2,0,245099.2,29246.8,25278.912
2022-04-03,175480,98101.2,0,233935.2,18740.4,27334.912
2022-04-04,72316,152391.2,0,222251.2,22196.4,29110.912
2022-04-05,150316,129551.6,88651.6,219942.4,27251.2,26334.912
2022-04-06,80676,102744.8,0,271261.2,10924.8,27714.912
2022-04-07,99040,130757.2,0,300854.8,15515.2,27578.912
2022-04-08,167412,63780,77556.40000000001,318034,27935.6,25638.912
2022-04-09,181072,4916.8,0,379319.2,26087.6,24382.912
2022-04-10,161480,21673.6,0,352616,20450.8,28782.912
2022-04-11,40072,116794,97099.2,321114,35945.2,29294.912
2022-04-12,51252,157039.6,41653.6,303654.8,25958.4,29746.912
2022-04-13,124168,131262.8,116084,308193.2,49637.2,30026.912
2022-04-14,147368,75002.4,124131.6,337278.4,46227.6,27614.912
2022-04-15,74572,41119.2,60530.8,389808,43409.6,23866.912
2022-04-16,218240,57346,0,372140,29531.6,27526.912
2022-04-17,131804,58232.4,0,354718.4,21766.4,31510.912
2022-04-18,39308,83403.6,0,303082,26688,29250.912
2022-04-19,16428,186110,112801.2,263956.4,43824.4,22734.912
2022-04-20,25140,190252.8,124712,271487.2,48607.2,28630.912
2022-04-21,19284,141174,131482,276060.4,58154,28178.912
2022-04-22,65908,117597.6,89991.2,270980.4,33869.2,21454.912
2022-04-23,24296,138513.6,0,267791.2,25041.6,24942.912
2022-04-24,143296,16663.6,0,276989.6,27061.6,28206.912
2022-04-25,97820,114845.6,91822.4,282414.8,57297.6,24762.912
2022-04-26,16000,144877.6,80956,293828.8,62425.6,23098.912
2022-04-27,120908,138867.2,90442.8,321614,45925.2,24170.912
2022-04-28,128132,114391.6,104015.6,306531.2,41541.2,27786.912
2022-04-29,20448,128342,80130.8,303363.6,45331.6,29154.912
2022-04-30,15460,49436,0,316594.8,36918.8,29778.912
2022-05-01,22160,44683.2,0,310042.4,26996,27078.912
2022-05-02,12944,125347.2,5552,300904,41072.4,25086.912
2022-05-03,16256,135596.8,8445.6,301201.2,54672.8,27502.912
2022-05-04,13892,148318.8,57109.6,311245.2,67039.6,23170.912
2022-05-05,7464,137848.4,59183.2,335474,80822.4,23374.912
2022-05-06,31120,127793.2,54024.8,334066,78356.8,21122.912
2022-05-07,38392,43552,0,372656,55431.2,20014.912
2022-05-08,7704,33328,0,397791.6,43658.8,23478.912
2022-05-09,24536,110778.8,55480,377859.2,64643.6,23542.912
2022-05-10,5416,61032,48732.4,393689.6,54226,24638.912
2022-05-11,37336,49954,14512,391717.2,52118,25054.912
2022-05-12,81916,103246,23971.2,380567.6,69635.2,24370.912
2022-05-13,101008,121384,29192.399999999998,408853.2,65401.2,23790.912
2022-05-14,62296,22510,0,453922.4,50442,30098.912
2022-05-15,8472,2275.2,0,456440.4,50934.4,30838.912
2022-05-16,17852,58414,94858.8,420473.2,71876.8,25418.912
2022-05-17,150604,128659.6,93982.8,437344,76882.8,25342.912
2022-05-18,39320,96211.2,70474.4,437692,66181.2,27122.912
2022-05-19,140716,91651.6,78940.8,425974,69627.2,28386.912
2022-05-20,55492,87346.8,51713.6,430762.8,71888.8,27994.912
2022-05-21,153452,2786.8,0,483677.6,56908.8,29158.912
2022-05-22,43144,23864.8,0,477320,52982.8,31714.912
2022-05-23,52388,106786.8,11970,421784,63990.8,26766.912
