date,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
2022-08-22,"1,093.99","1,108.13","1,048.93","1,195.56","1,077.4","1,329.66","1,215.68","1,124.67","1,121.95","1,174.96",924.23,"1,058.73","1,049.83","1,002.33","1,094.13","1,062.44","1,105.51","1,189.44","1,026.89",553.02,"1,177.85","1,092.64","1,106.84","1,128.56","1,600.15","1,009.04","1,076.52"
2022-08-15,"1,069.82","1,099.05","1,065.97","1,233.88","1,091.09","1,286.81","1,140.33","1,125.5","1,113.63","1,170.13",882.49,"1,032.12","1,052.51",972.28,"1,110.39","1,072.38","1,081.51","1,115.08","1,039.74",553.02,"1,179.5","1,101.05","1,072.69","1,126.04","1,527.15","1,023.96","1,079.85"
2022-08-08,"1,149.82","1,126.93","1,083.02","1,242.81","1,139.11","1,271.68","1,141.99","1,144.67","1,153.45","1,199.96",923.66,"1,061.96","1,120.72","1,026.83","1,159.17","1,117.26","1,096.93","1,111.66","1,076.52",553.02,"1,199.33","1,103.02","1,086.51","1,139.84","1,503.14","1,039.39","1,119.02"
2022-08-01,"1,241.49","1,177.39","1,108.37","1,253.52","1,180.09","1,302.77","1,227.15","1,217.17","1,185.73","1,225.77",956.09,"1,107.93","1,131.13","1,014.25","1,189.09","1,150.35","1,133.19","1,199.7","1,107.21",553.02,"1,224.95","1,167.86","1,154.8","1,162.05","1,612.46","1,086.46","1,153.18"
2022-07-25,"1,269.82","1,197.56","1,142.24","1,296.08","1,221.31","1,299.41","1,216.54","1,031.33","1,218.57","1,275.77","1,002.81","1,134.54","1,181.78",938.44,"1,207.95","1,185.44","1,166.02","1,142.43","1,137.33",553.02,"1,224.13","1,180.93","1,176.76","1,166.92","1,610.73","1,126.65","1,155.68"
2022-07-18,"1,291.49","1,219.37","1,155.19","1,309.7","1,246.3","1,331.34","1,259.76","1,248","1,250.43","1,299.16","1,032.2","1,172.44","1,163.53",914.73,"1,250.55","1,223.49","1,193.67","1,209.95","1,172.17",553.02,"1,269.58","1,170.72","1,256.43","1,188.64","1,675.62","1,165.45","1,184.02"
2022-07-11,"1,338.15","1,233.49","1,155.19","1,330.38","1,259.48","1,321.26","1,260.11","1,249.67","1,292.49","1,345.13","1,053.04","1,198.25","1,186.81",902.11,"1,297.38","1,256.89","1,225.4","1,225.34","1,219.81",553.02,"1,319.99","1,156.6","1,230.41","1,187.83","1,635.71","1,172.84","1,188.18"
2022-07-04,"1,321.49","1,289.24","1,163.55","1,331.12","1,262.41","1,350.67","1,292.76","1,252.17","1,337.11","1,394.32","1,111.17","1,249.86","1,204.55",933.78,"1,313.64","1,290.41","1,259.75","1,227.05","1,273.87",553.02,"1,360.49","1,214.58","1,287.33","1,189.23","1,651.67","1,186.91","1,224.02"
2022-06-27,"1,327.37","1,344.48","1,159.2","1,319.86","1,269.2","1,391.01","1,378.48","1,350.5","1,356.93","1,496.74","1,166.06","1,290.19","1,191.19",940.59,"1,321.77","1,299.67","1,286.88","1,326.19","1,311.72",553.02,"1,380.33","1,248.66","1,346.67","1,194.26","1,721.85","1,058.47","1,199.02"
2022-06-20,"1,319.04","1,340.7","1,120.51","1,238.86","1,256.96","1,401.93","1,411.13","1,252.17","1,337.14","1,466.09","1,169.68","1,279.7","1,115.48",943,"1,289.25","1,276.9","1,288.25","1,353.54","1,282.28",553.02,"1,381.98","1,256.01","1,358.06","1,193.16","1,746.2",960.94,"1,155.68"
